Order_ID,Order_Date,Customer_ID,Gender,Age,Age_Group,Product,Category,Quantity,Unit_Price,Discount,Sales,Profit
43,2024-01-31 16:34:35.675675675,CUST1001,Female,20,18-25,Camera,Electronics,2,97991,5,186182.9,18773.33
44,2024-02-01 10:06:50.810810810,CUST1098,Female,34,26-35,Camera,Electronics,1,79748,5,75760.6,16051.57
45,2024-02-02 03:39:05.945945946,CUST1035,Female,42,36-45,Smartphone,Electronics,5,38355,5,182186.25,9298.23
46,2024-02-02 21:11:21.081081081,CUST1031,Female,18,18-25,Keyboard,Accessories,4,2406,15,8180.4,1356.09
47,2024-02-03 14:43:36.216216216,CUST1048,Male,39,36-45,Tablet,Electronics,1,32677,5,31043.15,6894.09
48,2024-02-04 08:15:51.351351351,CUST1052,Female,59,56-60,Keyboard,Accessories,3,2991,20,7178.4,1108.69
49,2024-02-05 01:48:06.486486486,CUST1098,Male,22,18-25,Power Bank,Accessories,4,1676,15,5698.4,753.73
50,2024-02-05 19:20:21.621621621,CUST1018,Female,57,56-60,Tablet,Electronics,5,47233,15,200740.25,38726.61
51,2024-02-06 12:52:36.756756756,CUST1061,Female,36,36-45,Laptop,Electronics,2,87030,5,165357.0,9106.23
52,2024-02-07 06:24:51.891891892,CUST1033,Female,26,26-35,Tablet,Electronics,5,11081,5,52634.75,4278.54
53,2024-02-07 23:57:07.027027027,CUST1063,Female,42,36-45,Monitor,Electronics,5,24244,0,121220.0,29210.75
54,2024-02-08 17:29:22.162162162,CUST1056,Male,39,36-45,Mouse,Accessories,3,453,10,1223.1,246.54
55,2024-02-09 11:01:37.297297297,CUST1015,Male,22,18-25,Power Bank,Accessories,1,2941,15,2499.85,212.65
56,2024-02-10 04:33:52.432432432,CUST1009,Female,43,36-45,Camera,Electronics,5,87752,20,351008.0,45526.07
57,2024-02-10 22:06:07.567567567,CUST1057,Female,22,18-25,Monitor,Electronics,2,15390,5,29241.0,5122.2
58,2024-02-11 15:38:22.702702702,CUST1031,Male,22,18-25,Laptop,Electronics,4,67663,5,257119.4,14219.28
59,2024-02-12 09:10:37.837837837,CUST1032,Female,37,36-45,Speaker,Accessories,4,8333,10,29998.8,5359.51
60,2024-02-13 02:42:52.972972973,CUST1028,Male,60,56-60,Headphones,Accessories,4,6536,5,24836.8,2268.52
61,2024-02-13 20:15:08.108108108,CUST1080,Female,48,46-55,Power Bank,Accessories,2,3346,5,6357.4,1186.3
62,2024-02-14 13:47:23.243243243,CUST1006,Male,25,18-25,Camera,Electronics,2,40305,5,76579.5,9045.95
63,2024-02-15 07:19:38.378378378,CUST1035,Male,28,26-35,Keyboard,Accessories,4,1228,20,3929.6,956.92
64,2024-02-16 00:51:53.513513513,CUST1095,Male,54,46-55,Camera,Electronics,3,42955,5,122421.75,12242.58
65,2024-02-16 18:24:08.648648648,CUST1022,Female,40,36-45,Smartwatch,Wearables,5,14043,0,70215.0,13057.81
66,2024-02-17 11:56:23.783783783,CUST1085,Male,52,46-55,Printer,Electronics,1,18144,15,15422.4,3320.31
67,2024-02-18 05:28:38.918918919,CUST1075,Male,36,36-45,Speaker,Accessories,4,1895,20,6064.0,1401.25
68,2024-02-18 23:00:54.054054054,CUST1068,Female,24,18-25,Printer,Electronics,4,27330,5,103854.0,18316.46
69,2024-02-19 16:33:09.189189189,CUST1022,Male,29,26-35,Headphones,Accessories,4,3938,20,12601.6,2526.3
70,2024-02-20 10:05:24.324324324,CUST1094,Male,56,56-60,Printer,Electronics,5,27545,5,130838.75,8048.12
71,2024-02-21 03:37:39.459459459,CUST1057,Male,22,18-25,Camera,Electronics,5,31801,15,135154.25,25355.75
72,2024-02-21 21:09:54.594594594,CUST1026,Male,34,26-35,Power Bank,Accessories,5,1991,5,9457.25,1223.11
73,2024-02-22 14:42:09.729729730,CUST1064,Male,19,18-25,Camera,Electronics,5,79693,10,358618.5,59624.3
74,2024-02-23 08:14:24.864864865,CUST1030,Male,34,26-35,Monitor,Electronics,1,9324,15,7925.4,951.39
75,2024-02-24 01:46:40.000000000,CUST1066,Male,56,56-60,Headphones,Accessories,2,6977,10,12558.6,907.23
76,2024-02-24 19:18:55.135135135,CUST1038,Female,45,36-45,Smartphone,Electronics,2,45355,15,77103.5,15685.86
77,2024-02-25 12:51:10.270270270,CUST1055,Male,20,18-25,Laptop,Electronics,4,40504,15,137713.6,14754.97
78,2024-02-26 06:23:25.405405405,CUST1060,Male,55,46-55,Laptop,Electronics,2,76395,20,122232.0,29821.65
79,2024-02-26 23:55:40.540540540,CUST1098,Female,33,26-35,Mouse,Accessories,5,502,15,2133.5,138.16
80,2024-02-27 17:27:55.675675675,CUST1014,Male,37,36-45,Headphones,Accessories,2,7190,0,14380.0,1342.54
81,2024-02-28 11:00:10.810810811,CUST1015,Female,20,18-25,Laptop,Electronics,1,47114,15,40046.9,9680.96
82,2024-02-29 04:32:25.945945946,CUST1089,Female,55,46-55,Smartwatch,Wearables,4,22852,5,86837.6,7609.08
83,2024-02-29 22:04:41.081081081,CUST1016,Female,45,36-45,Smartwatch,Wearables,5,6835,10,30757.5,5832.62
84,2024-03-01 15:36:56.216216216,CUST1034,Male,50,46-55,Printer,Electronics,4,8779,20,28092.8,2152.95
85,2024-03-02 09:09:11.351351351,CUST1055,Male,35,26-35,Monitor,Electronics,5,26222,0,131110.0,17522.67
86,2024-03-03 02:41:26.486486486,CUST1048,Male,22,18-25,Smartphone,Electronics,1,42712,5,40576.4,10040.84
87,2024-03-03 20:13:41.621621621,CUST1076,Female,38,36-45,Speaker,Accessories,1,5425,10,4882.5,1066.45
88,2024-03-04 13:45:56.756756757,CUST1054,Male,51,46-55,Laptop,Electronics,3,48702,0,146106.0,7704.81
89,2024-03-05 07:18:11.891891892,CUST1052,Male,45,36-45,Monitor,Electronics,5,17860,10,80370.0,12946.51
90,2024-03-06 00:50:27.027027027,CUST1000,Female,27,26-35,Mouse,Accessories,3,1468,20,3523.2,493.63
91,2024-03-06 18:22:42.162162162,CUST1071,Female,30,26-35,Headphones,Accessories,1,5976,5,5677.2,690.53
92,2024-03-07 11:54:57.297297297,CUST1053,Female,43,36-45,Tablet,Electronics,2,38538,5,73222.2,16140.83
93,2024-03-08 05:27:12.432432432,CUST1046,Female,22,18-25,Power Bank,Accessories,3,2648,0,7944.0,610.12
94,2024-03-08 22:59:27.567567567,CUST1037,Male,32,26-35,Tablet,Electronics,5,22173,5,105321.75,22223.83
95,2024-03-09 16:31:42.702702702,CUST1097,Female,51,46-55,Power Bank,Accessories,2,2158,10,3884.4,264.92
96,2024-03-10 10:03:57.837837838,CUST1004,Male,55,46-55,Keyboard,Accessories,4,1041,5,3955.8,880.06
97,2024-03-11 03:36:12.972972973,CUST1087,Female,27,26-35,Keyboard,Accessories,1,1853,0,1853.0,188.36
98,2024-03-11 21:08:28.108108108,CUST1042,Female,51,46-55,Mouse,Accessories,5,1773,20,7092.0,651.23
99,2024-03-12 14:40:43.243243243,CUST1055,Male,40,36-45,Speaker,Accessories,3,7531,15,19204.05,1658.77
100,2024-03-13 08:12:58.378378378,CUST1060,Female,20,18-25,Printer,Electronics,3,6666,20,15998.4,3913.56
101,2024-03-14 01:45:13.513513513,CUST1004,Male,36,36-45,Camera,Electronics,5,61668,20,246672.0,39404.14
102,2024-03-14 19:17:28.648648648,CUST1072,Female,29,26-35,Printer,Electronics,2,16160,5,30704.0,5774.78
103,2024-03-15 12:49:43.783783784,CUST1035,Male,39,36-45,Camera,Electronics,3,44262,20,106228.8,5366.57
104,2024-03-16 06:21:58.918918919,CUST1077,Male,25,18-25,Laptop,Electronics,3,62195,5,177255.75,35804.08
105,2024-03-16 23:54:14.054054054,CUST1006,Male,19,18-25,Smartwatch,Wearables,2,6621,10,11917.8,1197.59
106,2024-03-17 17:26:29.189189189,CUST1037,Female,40,36-45,Headphones,Accessories,3,6870,15,17518.5,1251.42
107,2024-03-18 10:58:44.324324324,CUST1038,Female,32,26-35,Headphones,Accessories,1,6750,20,5400.0,466.87
108,2024-03-19 04:30:59.459459459,CUST1012,Male,34,26-35,Printer,Electronics,2,22509,15,38265.3,3698.08
109,2024-03-19 22:03:14.594594594,CUST1099,Female,42,36-45,Keyboard,Accessories,2,566,0,1132.0,169.45
110,2024-03-20 15:35:29.729729729,CUST1005,Male,51,46-55,Monitor,Electronics,1,14738,5,14001.1,1494.69
111,2024-03-21 09:07:44.864864865,CUST1032,Female,43,36-45,Keyboard,Accessories,2,2475,10,4455.0,1101.74
112,2024-03-22 02:40:00.000000000,CUST1030,Male,39,36-45,Mouse,Accessories,4,1930,0,7720.0,509.88
113,2024-03-22 20:12:15.135135135,CUST1078,Female,54,46-55,Smartwatch,Wearables,2,10659,15,18120.3,4230.71
114,2024-03-23 13:44:30.270270270,CUST1007,Female,47,46-55,Monitor,Electronics,3,13560,5,38646.0,6235.63
115,2024-03-24 07:16:45.405405405,CUST1096,Female,22,18-25,Camera,Electronics,2,67101,15,114071.7,15409.64
116,2024-03-25 00:49:00.540540540,CUST1099,Male,29,26-35,Keyboard,Accessories,1,2637,20,2109.6,319.02
117,2024-03-25 18:21:15.675675675,CUST1009,Male,20,18-25,Speaker,Accessories,2,11731,5,22288.9,3560.0
118,2024-03-26 11:53:30.810810811,CUST1072,Male,19,18-25,Power Bank,Accessories,2,2419,0,4838.0,376.23
119,2024-03-27 05:25:45.945945946,CUST1059,Male,26,26-35,Laptop,Electronics,3,68253,0,204759.0,45076.77
120,2024-03-27 22:58:01.081081081,CUST1039,Male,31,26-35,Power Bank,Accessories,3,3435,10,9274.5,587.07
121,2024-03-28 16:30:16.216216216,CUST1029,Female,46,46-55,Monitor,Electronics,3,17064,20,40953.6,3699.15
122,2024-03-29 10:02:31.351351351,CUST1061,Male,38,36-45,Headphones,Accessories,5,3898,10,17541.0,3100.4
123,2024-03-30 03:34:46.486486486,CUST1038,Male,42,36-45,Keyboard,Accessories,2,2636,5,5008.4,1068.39
124,2024-03-30 21:07:01.621621621,CUST1014,Female,31,26-35,Smartwatch,Wearables,3,9804,0,29412.0,5868.34
125,2024-03-31 14:39:16.756756756,CUST1050,Male,42,36-45,Laptop,Electronics,1,51246,5,48683.7,7726.62
126,2024-04-01 08:11:31.891891892,CUST1063,Female,23,18-25,Tablet,Electronics,3,41110,10,110997.0,12984.55
127,2024-04-02 01:43:47.027027027,CUST1026,Male,32,26-35,Keyboard,Accessories,5,1812,15,7701.0,1527.05
128,2024-04-02 19:16:02.162162162,CUST1054,Female,46,46-55,Keyboard,Accessories,1,1620,20,1296.0,129.21
129,2024-04-03 12:48:17.297297297,CUST1096,Female,21,18-25,Laptop,Electronics,2,72265,20,115624.0,26056.23
130,2024-04-04 06:20:32.432432432,CUST1028,Male,55,46-55,Monitor,Electronics,4,14359,15,48820.6,6320.19
131,2024-04-04 23:52:47.567567567,CUST1094,Male,22,18-25,Smartwatch,Wearables,4,4891,20,15651.2,3036.45
132,2024-04-05 17:25:02.702702702,CUST1010,Female,53,46-55,Headphones,Accessories,2,2834,10,5101.2,607.75
133,2024-04-06 10:57:17.837837838,CUST1061,Female,57,56-60,Camera,Electronics,2,27443,5,52141.7,8720.49
134,2024-04-07 04:29:32.972972973,CUST1067,Male,42,36-45,Smartphone,Electronics,4,42306,15,143840.4,10132.48
135,2024-04-07 22:01:48.108108108,CUST1050,Female,54,46-55,Mouse,Accessories,2,903,5,1715.7,109.43
136,2024-04-08 15:34:03.243243243,CUST1020,Female,58,56-60,Smartwatch,Wearables,3,15718,0,47154.0,3425.63
137,2024-04-09 09:06:18.378378378,CUST1020,Female,53,46-55,Camera,Electronics,1,78173,10,70355.7,11837.7
138,2024-04-10 02:38:33.513513513,CUST1034,Female,26,26-35,Printer,Electronics,4,12456,20,39859.2,6805.73
139,2024-04-10 20:10:48.648648648,CUST1090,Female,42,36-45,Keyboard,Accessories,3,885,5,2522.25,368.67
140,2024-04-11 13:43:03.783783783,CUST1069,Male,60,56-60,Laptop,Electronics,4,53490,0,213960.0,32024.15
141,2024-04-12 07:15:18.918918919,CUST1027,Male,41,36-45,Mouse,Accessories,1,584,10,525.6,92.74
142,2024-04-13 00:47:34.054054054,CUST1085,Male,38,36-45,Smartphone,Electronics,1,61163,0,61163.0,4876.68
143,2024-04-13 18:19:49.189189189,CUST1050,Male,57,56-60,Power Bank,Accessories,1,2559,20,2047.2,265.04
144,2024-04-14 11:52:04.324324324,CUST1039,Female,36,36-45,Speaker,Accessories,5,6024,20,24096.0,3479.79
145,2024-04-15 05:24:19.459459460,CUST1093,Male,35,26-35,Headphones,Accessories,3,4057,5,11562.45,1814.05
146,2024-04-15 22:56:34.594594594,CUST1073,Male,21,18-25,Monitor,Electronics,5,20342,10,91539.0,11411.42
147,2024-04-16 16:28:49.729729730,CUST1006,Female,51,46-55,Headphones,Accessories,1,7230,15,6145.5,1339.46
148,2024-04-17 10:01:04.864864864,CUST1071,Male,18,18-25,Smartwatch,Wearables,3,16295,10,43996.5,6647.94
149,2024-04-18 03:33:20.000000000,CUST1087,Male,54,46-55,Monitor,Electronics,3,28059,5,79968.15,16878.32
150,2024-04-18 21:05:35.135135134,CUST1013,Female,60,56-60,Smartwatch,Wearables,4,24003,20,76809.6,6007.77
151,2024-04-19 14:37:50.270270270,CUST1018,Male,35,26-35,Tablet,Electronics,2,26032,20,41651.2,2303.58
152,2024-04-20 08:10:05.405405406,CUST1019,Female,46,46-55,Keyboard,Accessories,2,1013,0,2026.0,432.53
153,2024-04-21 01:42:20.540540540,CUST1036,Male,59,56-60,Speaker,Accessories,2,6066,15,10312.2,2228.79
154,2024-04-21 19:14:35.675675676,CUST1085,Male,47,46-55,Monitor,Electronics,2,15083,10,27149.4,6507.46
155,2024-04-22 12:46:50.810810810,CUST1095,Male,41,36-45,Power Bank,Accessories,2,3479,10,6262.2,1433.48
156,2024-04-23 06:19:05.945945946,CUST1072,Female,34,26-35,Laptop,Electronics,1,75367,5,71598.65,12651.17
157,2024-04-23 23:51:21.081081080,CUST1086,Male,39,36-45,Monitor,Electronics,4,16633,20,53225.6,4488.83
158,2024-04-24 17:23:36.216216216,CUST1040,Female,28,26-35,Mouse,Accessories,2,2475,20,3960.0,843.52
159,2024-04-25 10:55:51.351351350,CUST1084,Male,51,46-55,Monitor,Electronics,5,20875,20,83500.0,4358.63
160,2024-04-26 04:28:06.486486486,CUST1052,Female,48,46-55,Speaker,Accessories,3,5763,5,16424.55,2793.87
161,2024-04-26 22:00:21.621621622,CUST1045,Male,27,26-35,Tablet,Electronics,1,45737,20,36589.6,4633.26
162,2024-04-27 15:32:36.756756756,CUST1028,Male,60,56-60,Smartphone,Electronics,3,36172,15,92238.6,18834.86
163,2024-04-28 09:04:51.891891892,CUST1098,Female,28,26-35,Mouse,Accessories,3,1436,10,3877.2,424.26
164,2024-04-29 02:37:07.027027026,CUST1019,Male,51,46-55,Monitor,Electronics,5,29792,5,141512.0,7958.16
165,2024-04-29 20:09:22.162162162,CUST1097,Female,52,46-55,Headphones,Accessories,3,4920,10,13284.0,2249.89
166,2024-04-30 13:41:37.297297296,CUST1000,Female,43,36-45,Printer,Electronics,5,8120,0,40600.0,4884.51
167,2024-05-01 07:13:52.432432432,CUST1043,Female,60,56-60,Printer,Electronics,2,18312,10,32961.6,7047.86
168,2024-05-02 00:46:07.567567568,CUST1058,Female,47,46-55,Headphones,Accessories,2,7667,10,13800.6,1558.35
169,2024-05-02 18:18:22.702702702,CUST1087,Female,34,26-35,Speaker,Accessories,1,9482,15,8059.7,1276.5
170,2024-05-03 11:50:37.837837838,CUST1069,Male,25,18-25,Headphones,Accessories,5,4152,20,16608.0,3129.87
171,2024-05-04 05:22:52.972972972,CUST1025,Female,42,36-45,Smartwatch,Wearables,1,23771,10,21393.9,5295.71
172,2024-05-04 22:55:08.108108108,CUST1006,Male,33,26-35,Camera,Electronics,1,37182,5,35322.9,5778.44
173,2024-05-05 16:27:23.243243242,CUST1081,Male,24,18-25,Mouse,Accessories,3,1821,10,4916.7,1174.37
174,2024-05-06 09:59:38.378378378,CUST1013,Male,56,56-60,Keyboard,Accessories,2,1966,5,3735.4,668.3
175,2024-05-07 03:31:53.513513514,CUST1039,Female,52,46-55,Smartwatch,Wearables,4,15409,10,55472.4,10498.58
176,2024-05-07 21:04:08.648648648,CUST1012,Female,40,36-45,Camera,Electronics,1,69547,20,55637.6,10144.46
177,2024-05-08 14:36:23.783783784,CUST1054,Female,50,46-55,Smartphone,Electronics,5,28737,15,122132.25,11796.99
178,2024-05-09 08:08:38.918918918,CUST1031,Female,59,56-60,Headphones,Accessories,3,5854,20,14049.6,2188.75
179,2024-05-10 01:40:54.054054054,CUST1056,Female,56,56-60,Headphones,Accessories,4,5124,0,20496.0,2672.4
180,2024-05-10 19:13:09.189189188,CUST1093,Female,27,26-35,Smartwatch,Wearables,1,5430,15,4615.5,911.64
181,2024-05-11 12:45:24.324324324,CUST1064,Male,20,18-25,Laptop,Electronics,2,72913,20,116660.8,6815.17
182,2024-05-12 06:17:39.459459460,CUST1036,Male,32,26-35,Mouse,Accessories,1,1263,15,1073.55,259.03
183,2024-05-12 23:49:54.594594594,CUST1070,Female,60,56-60,Mouse,Accessories,3,1385,20,3324.0,823.81
184,2024-05-13 17:22:09.729729730,CUST1073,Male,21,18-25,Keyboard,Accessories,4,1833,20,5865.6,1267.72
185,2024-05-14 10:54:24.864864864,CUST1005,Male,51,46-55,Speaker,Accessories,2,2436,0,4872.0,1176.36
186,2024-05-15 04:26:40.000000000,CUST1060,Female,22,18-25,Mouse,Accessories,1,1844,10,1659.6,281.23
187,2024-05-15 21:58:55.135135134,CUST1031,Male,59,56-60,Speaker,Accessories,2,10541,0,21082.0,1702.99
188,2024-05-16 15:31:10.270270270,CUST1013,Male,55,46-55,Headphones,Accessories,5,3030,0,15150.0,2554.11
189,2024-05-17 09:03:25.405405404,CUST1028,Male,51,46-55,Mouse,Accessories,1,1251,10,1125.9,117.76
190,2024-05-18 02:35:40.540540540,CUST1058,Male,20,18-25,Printer,Electronics,2,19774,0,39548.0,6334.46
191,2024-05-18 20:07:55.675675676,CUST1036,Female,41,36-45,Smartphone,Electronics,3,18972,5,54070.2,8463.09
192,2024-05-19 13:40:10.810810810,CUST1092,Female,30,26-35,Power Bank,Accessories,5,3911,20,15644.0,2285.86
193,2024-05-20 07:12:25.945945946,CUST1032,Female,20,18-25,Headphones,Accessories,2,7183,10,12929.4,2881.94
194,2024-05-21 00:44:41.081081080,CUST1040,Male,41,36-45,Monitor,Electronics,4,22688,10,81676.8,18251.4
195,2024-05-21 18:16:56.216216216,CUST1006,Male,42,36-45,Speaker,Accessories,2,5786,10,10414.8,2088.62
196,2024-05-22 11:49:11.351351350,CUST1052,Male,60,56-60,Mouse,Accessories,2,1354,5,2572.6,194.94
197,2024-05-23 05:21:26.486486486,CUST1095,Female,48,46-55,Tablet,Electronics,4,36588,15,124399.2,6378.84
198,2024-05-23 22:53:41.621621622,CUST1069,Male,58,56-60,Speaker,Accessories,2,6043,20,9668.8,1991.47
199,2024-05-24 16:25:56.756756756,CUST1059,Male,47,46-55,Headphones,Accessories,2,6352,5,12068.8,1428.64
200,2024-05-25 09:58:11.891891892,CUST1090,Female,46,46-55,Mouse,Accessories,4,2187,15,7435.8,472.67
201,2024-05-26 03:30:27.027027026,CUST1081,Female,29,26-35,Laptop,Electronics,1,48073,0,48073.0,2960.53
202,2024-05-26 21:02:42.162162162,CUST1051,Female,31,26-35,Smartphone,Electronics,5,36195,15,153828.75,27614.53
203,2024-05-27 14:34:57.297297296,CUST1086,Male,24,18-25,Power Bank,Accessories,3,3904,10,10540.8,1059.37
204,2024-05-28 08:07:12.432432432,CUST1038,Female,51,46-55,Camera,Electronics,2,39288,10,70718.4,9920.19
205,2024-05-29 01:39:27.567567568,CUST1083,Male,46,46-55,Tablet,Electronics,3,33411,5,95221.35,19478.91
206,2024-05-29 19:11:42.702702702,CUST1092,Male,28,26-35,Monitor,Electronics,3,27280,15,69564.0,3913.7
207,2024-05-30 12:43:57.837837838,CUST1002,Male,33,26-35,Mouse,Accessories,3,383,10,1034.1,108.42
208,2024-05-31 06:16:12.972972972,CUST1063,Female,18,18-25,Speaker,Accessories,4,2433,5,9245.4,856.32
209,2024-05-31 23:48:28.108108108,CUST1071,Female,42,36-45,Laptop,Electronics,4,66385,15,225709.0,32647.0
210,2024-06-01 17:20:43.243243242,CUST1070,Male,42,36-45,Power Bank,Accessories,5,4180,10,18810.0,4118.57
211,2024-06-02 10:52:58.378378378,CUST1019,Female,46,46-55,Headphones,Accessories,4,1692,15,5752.8,1400.82
212,2024-06-03 04:25:13.513513514,CUST1037,Female,47,46-55,Printer,Electronics,1,19547,15,16614.95,2260.65
213,2024-06-03 21:57:28.648648648,CUST1010,Female,39,36-45,Printer,Electronics,5,22500,5,106875.0,22391.58
214,2024-06-04 15:29:43.783783784,CUST1094,Male,25,18-25,Laptop,Electronics,2,66589,5,126519.1,18470.24
215,2024-06-05 09:01:58.918918918,CUST1040,Male,49,46-55,Monitor,Electronics,5,16920,0,84600.0,20348.81
216,2024-06-06 02:34:14.054054054,CUST1045,Female,28,26-35,Smartwatch,Wearables,3,15399,0,46197.0,4546.2
217,2024-06-06 20:06:29.189189188,CUST1096,Female,39,36-45,Monitor,Electronics,4,10720,5,40736.0,8357.44
218,2024-06-07 13:38:44.324324324,CUST1025,Male,50,46-55,Smartphone,Electronics,1,60004,0,60004.0,12895.03
219,2024-06-08 07:10:59.459459458,CUST1097,Female,56,56-60,Monitor,Electronics,2,26093,5,49576.7,10416.92
220,2024-06-09 00:43:14.594594594,CUST1094,Male,57,56-60,Camera,Electronics,5,74786,0,373930.0,88712.07
221,2024-06-09 18:15:29.729729730,CUST1006,Female,29,26-35,Printer,Electronics,2,9389,15,15961.3,1881.68
222,2024-06-10 11:47:44.864864864,CUST1040,Female,37,36-45,Speaker,Accessories,4,1521,5,5779.8,844.9
223,2024-06-11 05:20:00.000000000,CUST1044,Female,59,56-60,Power Bank,Accessories,3,2934,15,7481.7,612.82
224,2024-06-11 22:52:15.135135134,CUST1054,Male,36,36-45,Headphones,Accessories,4,5780,20,18496.0,3846.05
225,2024-06-12 16:24:30.270270270,CUST1058,Female,35,26-35,Headphones,Accessories,2,1661,20,2657.6,662.45
226,2024-06-13 09:56:45.405405404,CUST1062,Female,45,36-45,Headphones,Accessories,3,5130,20,12312.0,793.38
227,2024-06-14 03:29:00.540540540,CUST1060,Female,24,18-25,Laptop,Electronics,1,47005,20,37604.0,7349.09
